time,wind_speed,wind_dir,wd_cat
2023-06-09 01:00:00,9,183,S
2023-06-09 02:00:00,9,183,S
2023-06-09 03:00:00,9,182,S
2023-06-09 04:00:00,10,182,S
2023-06-09 05:00:00,10,185,S
2023-06-09 06:00:00,10,186,S
2023-06-09 07:00:00,10,186,S
2023-06-09 08:00:00,9,186,S
2023-06-09 09:00:00,9,186,S
2023-06-09 10:00:00,8,181,S
2023-06-09 11:00:00,8,180,S
2023-06-09 12:00:00,7,178,S
2023-06-09 13:00:00,7,175,S
2023-06-09 14:00:00,7,173,S
2023-06-09 15:00:00,7,169,S
2023-06-09 16:00:00,7,164,S
2023-06-09 17:00:00,7,161,S
2023-06-09 18:00:00,7,161,S
2023-06-09 19:00:00,6,160,S
2023-06-09 20:00:00,6,160,S
2023-06-09 21:00:00,5,158,S
2023-06-09 22:00:00,4,153,SE
2023-06-09 23:00:00,5,149,SE
2023-06-10 00:00:00,6,155,SE
2023-06-10 01:00:00,7,160,S
2023-06-10 02:00:00,7,162,S
2023-06-10 03:00:00,8,163,S
2023-06-10 04:00:00,9,162,S
2023-06-10 05:00:00,10,163,S
2023-06-10 06:00:00,10,163,S
2023-06-10 07:00:00,10,163,S
2023-06-10 08:00:00,10,163,S
2023-06-10 09:00:00,10,162,S
2023-06-10 10:00:00,10,161,S
2023-06-10 11:00:00,9,160,S
2023-06-10 12:00:00,9,159,S
2023-06-10 13:00:00,9,157,SE
2023-06-10 14:00:00,9,156,SE
2023-06-10 15:00:00,9,155,SE
2023-06-10 16:00:00,9,151,SE
2023-06-10 17:00:00,8,148,SE
2023-06-10 18:00:00,8,145,SE
2023-06-10 19:00:00,8,145,SE
2023-06-10 20:00:00,8,143,SE
2023-06-10 21:00:00,8,141,SE
2023-06-10 22:00:00,8,137,SE
2023-06-10 23:00:00,8,139,SE
2023-06-11 00:00:00,9,140,SE
2023-06-11 01:00:00,9,138,SE
2023-06-11 02:00:00,9,140,SE
2023-06-11 03:00:00,9,142,SE
2023-06-11 04:00:00,10,142,SE
2023-06-11 05:00:00,10,141,SE
2023-06-11 06:00:00,10,137,SE
2023-06-11 07:00:00,10,132,SE
2023-06-11 08:00:00,9,128,SE
2023-06-11 09:00:00,9,128,SE
2023-06-11 10:00:00,9,119,SE
2023-06-11 11:00:00,9,116,SE
2023-06-11 12:00:00,9,108,E
2023-06-11 13:00:00,9,113,SE
2023-06-11 14:00:00,8,124,SE
2023-06-11 15:00:00,8,127,SE
2023-06-11 16:00:00,8,129,SE
2023-06-11 17:00:00,8,128,SE
2023-06-11 18:00:00,8,130,SE
2023-06-11 19:00:00,8,128,SE
2023-06-11 20:00:00,8,125,SE
2023-06-11 21:00:00,9,119,SE
2023-06-11 22:00:00,10,119,SE
2023-06-11 23:00:00,10,120,SE
2023-06-12 00:00:00,9,117,SE
2023-06-12 01:00:00,10,112,E
2023-06-12 02:00:00,10,114,SE
2023-06-12 03:00:00,9,123,SE
2023-06-12 04:00:00,10,131,SE
2023-06-12 05:00:00,11,131,SE
2023-06-12 06:00:00,10,130,SE
2023-06-12 07:00:00,10,124,SE
2023-06-12 08:00:00,10,128,SE
2023-06-12 09:00:00,10,126,SE
2023-06-12 10:00:00,10,120,SE
2023-06-12 11:00:00,10,120,SE
2023-06-12 12:00:00,9,120,SE
2023-06-12 13:00:00,9,119,SE
2023-06-12 14:00:00,9,127,SE
2023-06-12 15:00:00,9,127,SE
2023-06-12 16:00:00,9,125,SE
2023-06-12 17:00:00,10,125,SE
2023-06-12 18:00:00,9,126,SE
2023-06-12 19:00:00,9,118,SE
2023-06-12 20:00:00,10,113,SE
2023-06-12 21:00:00,10,109,E
2023-06-12 22:00:00,10,102,E
2023-06-12 23:00:00,10,96,E
2023-06-13 00:00:00,10,85,E
2023-06-13 01:00:00,10,75,E
2023-06-13 02:00:00,9,78,E
2023-06-13 03:00:00,8,80,E
2023-06-13 04:00:00,7,81,E
2023-06-13 05:00:00,6,93,E
2023-06-13 06:00:00,6,103,E
2023-06-13 07:00:00,7,113,SE
2023-06-13 08:00:00,8,113,SE
2023-06-13 09:00:00,8,107,E
2023-06-13 10:00:00,6,101,E
2023-06-13 11:00:00,6,95,E
2023-06-13 12:00:00,6,88,E
2023-06-13 13:00:00,6,81,E
2023-06-13 14:00:00,6,77,E
2023-06-13 15:00:00,5,73,E
2023-06-13 16:00:00,5,70,E
2023-06-13 17:00:00,5,67,NE
2023-06-13 18:00:00,5,69,E
2023-06-13 19:00:00,6,71,E
